ID,REQ,AUTHOR,DATE,LANG,MSG,SCORE
1338231558956781569,Hello,Fares 3bar,Sun Dec 13 21:17:21 +0000 2020,en,Hello💛 https://t.co/jNXUTjm8Fw,-1
1338231558277390340,Hello,GAVIN 🎄🎁,Sun Dec 13 21:17:21 +0000 2020,en,*aiden shaking in his boots answering connors call* : h hello?,-1
1338231556570308617,Hello,Sassy,Sun Dec 13 21:17:20 +0000 2020,en,RT @notstevely: Hello 🦍 https://t.co/1S26pUTU3S,-1
1338231555983106048,Hello,🦎 🌺 🐊🌴Janice🌴😷 ⛱ 🦈,Sun Dec 13 21:17:20 +0000 2020,en,@raynadragon @callkurt @clairermassey @cbeidson @REDGRRRL1 @LanceUSA70 @New_AllyO @Empath_g_app @Just_ReneaR… https://t.co/5iNesruw7F,-1
1338231552942149632,Hello,""" mack loves chuuya "" aot 4 !!",Sun Dec 13 21:17:20 +0000 2020,en,@minamotous hello im a saggy torus &lt;3,-1
1338231552845750279,Hello,𝐃𝐚𝐦𝐢⁷,Sun Dec 13 21:17:19 +0000 2020,en,RT @jeonkkyu7: HELLO WTF!?!? https://t.co/w44Y0frtnW,-1
1338231551348383749,Hello,Jessica Amadi ⭐,Sun Dec 13 21:17:19 +0000 2020,en,"Hello @Arsenal, you think it's easy being a Nigerian and your fan right now?

Na God go punish una with Buhari 😭😭

#ARSBUR",-1
1338231550513729539,Hello,Kendall Jr,Sun Dec 13 21:17:19 +0000 2020,en,"RT @Krazzf: Hello, @TeamYouTube, there is this channel that was called “LazarCorn” that just got hacked recently and the scam stream has be…",-1
1338231549960065032,Hello,kel!⁷ ❂ 💿✨ seokjin lovebot,Sun Dec 13 21:17:19 +0000 2020,en,@elliibooo HELLO,-1
1338231549909733376,Hello,Andrew James,Sun Dec 13 21:17:19 +0000 2020,en,RT @emmaswiftsings: Hello folks! Blonde on the Tracks (and on the tiles) live and acoustic from my kitchen direct to Youtube is today! 2pm…,-1
1338231548542296064,Hello,jfb? kai,Sun Dec 13 21:17:18 +0000 2020,in,Hello follow kai ya jan lupa 64,-1
1338231545254060038,Hello,🎄MINSEOK IS BACK🎄,Sun Dec 13 21:17:18 +0000 2020,no,"HELLO AAAANGEL @weareoneEXO 

https://t.co/CVvHn0DKvO",-1
1338231543408414721,Hello,к,Sun Dec 13 21:17:17 +0000 2020,tl,hello wala na ko mapanood na movie tarna naman,-1
1338231542313791496,Hello,Association Furylan,Sun Dec 13 21:17:17 +0000 2020,fr,"RT @les_twitcheurs: 💜 Hello les Twitcheurs 💜

Aujourd'hui on vous présente @shinevo92 de la chaîne https://t.co/gbKug39jYE. Passionné de mu…",-1
1338231541957337089,Hello,SwingingHamster99,Sun Dec 13 21:17:17 +0000 2020,en,RT @artsylix: hello????? 😭 https://t.co/9YhNHcgdlG,-1
1338454205040758786,Hello,Ramana,Mon Dec 14 12:02:04 +0000 2020,en,"RT @Soul_Of_Dialect: Hello! Hello! Hello!

To those who are taking us lightly !! 

Mind it !! We will bring you down 

#Oath4SSR",-1
1338454203950223360,Hello,mimz. ia,Mon Dec 14 12:02:04 +0000 2020,en,Hello! I'm one of the silent readers of your SakuAtsu filo au. It's okay if you can't finish it po. But if someda…… https://t.co/aCWqfBzo4W,-1
1338454202918469633,Hello,crystaaleebabie,Mon Dec 14 12:02:03 +0000 2020,en,There are some things you can anticipate and some you cannot. ... More for Taurus https://t.co/neBobKqsVi,-1
