name,gender,score,Right_Name,Right_Gender,Frequency,Include?,probability
1,F,,,,38,No,
1,M,,,,56,Yes,
A,M,1,,,,,
"A'isha",F,0,,,,,
"A'ishah",F,0,,,,,
A-jay,M,1,,,,,
A.j.,M,1,,,,,
"Aa'isha",F,0,,,,,
"Aa'ishah",F,0,,,,,
Aaban,M,1,Aaban,M,15,No,1
Aabha,F,1,Aabha,F,7,No,1
Aabid,M,1,Aabid,M,,,1
Aabraham,M,0,,,,,
Aabriella,F,1,Aabriella,F,5,No,1
Aachal,F,0,,,,,
Aada,F,0,Aada,F,5,No,1
Aadam,M,1,Aadam,M,22,No,1
Aadan,M,1,Aadan,M,10,No,1
Aadarsh,M,1,Aadarsh,M,15,No,1
Aaden,M,0.998814604,Aaden,M,296,Yes,0.998814604077762
Aadesh,M,1,Aadesh,M,,,1
Aadham,M,1,,,,,
Aadhav,M,1,Aadhav,M,31,No,1
Aadhavan,M,1,Aadhavan,M,5,No,1
Aadhi,M,1,Aadhi,M,11,No,1
Aadhira,F,1,Aadhira,F,8,No,1
Aadhvik,M,1,Aadhvik,M,9,No,1
Aadhya,F,1,Aadhya,F,265,Yes,1
Aadhyan,M,1,Aadhyan,M,7,No,1
Aadi,M,0.977961433,Aadi,M,43,No,0.977961432506887
Aadian,M,1,Aadian,M,,,1
Aadil,M,1,Aadil,M,14,No,1
Aadila,F,0,,,,,
Aadin,M,1,Aadin,M,5,No,1
Aadish,M,1,Aadish,M,,,1
Aadison,F,1,Aadison,F,,,1
Aadit,M,1,Aadit,M,23,No,1
Aadith,M,1,Aadith,M,11,No,1
Aadithya,M,1,Aadithya,M,6,No,1
Aaditri,F,1,Aaditri,F,,,1
Aaditya,M,1,Aaditya,M,33,No,1
Aadiv,M,1,Aadiv,M,6,No,1
Aadolf,M,0,,,,,
Aadon,M,1,Aadon,M,8,No,1
Aadrian,M,1,Aadrian,M,7,No,1
Aadrika,F,1,Aadrika,F,9,No,1
Aadrit,M,1,Aadrit,M,,,1
Aadvik,M,1,Aadvik,M,28,No,1
Aadvika,F,1,Aadvika,F,7,No,1
Aadya,F,1,Aadya,F,159,Yes,1
Aadyn,M,0.962962963,Aadyn,M,29,No,0.9629629629629629
Aaeedah,F,0,,,,,
Aaeesha,F,0,,,,,
Aaenab,M,0,,,,,
Aafia,F,1,Aafia,F,6,No,1
Aafiya,F,0,,,,,
Aafiyah,F,0,,,,,
Aafje,F,0,,,,,
Aafreen,F,1,Aafreen,F,,,1
Aafrin,F,0,,,,,
Aaftaab,M,0,,,,,
Aaftab,M,0,,,,,
Aagam,M,1,Aagam,M,5,No,1
Aagand,M,0,,,,,
Aagat,M,1,,,,,
Aage,M,0,Aage,M,,,1
Aagman,M,1,,,,,
Aagot,F,1,Aagot,F,,,1
Aahaan,M,1,Aahaan,M,10,No,1
Aahad,M,1,,,,,
Aahan,M,1,Aahan,M,26,No,1
Aahana,F,1,Aahana,F,31,No,1
Aahil,M,1,Aahil,M,78,Yes,1
Aahim,M,0,,,,,
Aahir,M,1,Aahir,M,6,No,1
Aahliyah,F,1,Aahliyah,F,,,1
Aahna,F,1,Aahna,F,12,No,1
Aahron,M,1,Aahron,M,,,1
Aaidan,M,1,Aaidan,M,,,1
Aaiden,M,1,Aaiden,M,89,Yes,1
Aaidyn,M,1,Aaidyn,M,11,No,1
Aaila,F,1,Aaila,F,7,No,1
Aailiyah,F,1,Aailiyah,F,5,No,1
Aailyah,F,1,Aailyah,F,6,No,1
Aaima,F,1,Aaima,F,12,No,1
Aaina,F,0,,,,,
Aaira,F,1,Aaira,F,24,No,1
Aairah,F,1,Aairah,F,19,No,1
Aaisha,F,1,Aaisha,F,11,No,1
Aaishah,F,1,Aaishah,F,,,1
Aaiyana,F,1,Aaiyana,F,,,1
Aaiza,F,1,Aaiza,F,,,1
Aaizah,F,0,,,,,
Aaja,F,1,Aaja,F,,,1
Aajad,M,0,,,,,
Aajah,F,1,Aajah,F,,,1
Aajaylah,F,1,Aajaylah,F,,,1
Aajiv,M,0,,,,,
Aajon,M,1,Aajon,M,,,1
Aakanksha,F,1,Aakanksha,F,,,1
Aakar,M,0,,,,,
Aakarsh,M,1,Aakarsh,M,,,1
Aakas,M,0,,,,,
Aakash,M,1,Aakash,M,17,No,1
Aakeem,M,1,Aakeem,M,,,1
Aakib,M,0,,,,,
Aakifa,F,0,,,,,
Aakifah,F,0,,,,,
Aakilah,F,1,Aakilah,F,,,1
Aakira,F,1,Aakira,F,,,1
Aakiyah,F,1,Aakiyah,F,,,1
Aakriti,F,1,Aakriti,F,8,No,1
Aala,F,1,Aala,F,6,No,1
Aalaa,F,0,,,,,
Aalaiya,F,1,Aalaiya,F,,,1
Aalaiyah,F,1,Aalaiyah,F,11,No,1
Aalam,M,0,,,,,
Aalana,F,1,Aalana,F,,,1
Aalanah,F,1,Aalanah,F,,,1
Aalani,F,1,Aalani,F,17,No,1
Aalap,M,1,Aalap,M,,,1
Aalaya,F,1,Aalaya,F,9,No,1
Aalayah,F,1,Aalayah,F,70,Yes,1
Aalayiah,F,1,Aalayiah,F,8,No,1
Aalayjah,F,1,Aalayjah,F,,,1
Aalayna,F,1,Aalayna,F,5,No,1
Aalaysha,F,1,Aalaysha,F,,,1
Aalaysia,F,1,Aalaysia,F,9,No,1
Aalea,F,1,Aalea,F,,,1
Aaleah,F,1,Aaleah,F,11,No,1
Aaleahya,F,1,Aaleahya,F,5,No,1
Aaleena,F,1,Aaleena,F,5,No,1
Aaleeya,F,1,Aaleeya,F,,,1
Aaleeyah,F,1,Aaleeyah,F,11,No,1
Aaleiah,F,1,Aaleiah,F,6,No,1
Aaleigha,F,1,Aaleigha,F,9,No,1
Aaleiyah,F,1,Aaleiyah,F,,,1
Aalena,F,1,Aalena,F,5,No,1
Aalexis,F,1,Aalexis,F,,,1
Aalexus,F,1,Aalexus,F,,,1
Aaleya,F,1,Aaleya,F,,,1
Aaleyah,F,1,Aaleyah,F,153,Yes,1
Aali,M,0,Aali,M,6,No,1
Aalia,F,1,Aalia,F,33,No,1
Aaliah,F,1,Aaliah,F,46,No,1
Aaliana,F,1,Aaliana,F,6,No,1
Aalias,M,1,Aalias,M,,,1
Aaliayah,F,1,Aaliayah,F,,,1
Aaliayh,F,1,Aaliayh,F,,,1
Aalicia,F,1,Aalicia,F,,,1
Aaliegha,F,0,,,,,
Aaliha,F,1,Aaliha,F,,,1
Aalijah,F,,,,12,No,
Aalijah,M,0.591065292,Aalijah,M,17,No,0.5910652920962199
Aalim,M,1,Aalim,M,,,1
Aalimah,F,1,Aalimah,F,,,1
Aalina,F,1,Aalina,F,9,No,1
Aalinah,F,1,Aalinah,F,5,No,1
Aalis,F,0,,,,,
Aalisa,F,1,Aalisa,F,5,No,1
Aalish,F,0,,,,,
Aalisha,F,1,Aalisha,F,5,No,1
Aalivia,F,1,Aalivia,F,7,No,1
Aaliya,F,1,Aaliya,F,64,Yes,1
Aaliyaa,F,1,Aaliyaa,F,,,1
Aaliyah,F,0,Aaliyah,F,4836,Yes,0.9988101445206486
Aaliyah,M,,,,5,No,
Aaliyah-louise,F,0,,,,,
Aaliyah-mae,F,0,,,,,
Aaliyah-marie,F,0,,,,,
Aaliyah-rose,F,0,,,,,
Aaliyaha,F,1,Aaliyaha,F,,,1
Aaliyahmarie,F,1,Aaliyahmarie,F,6,No,1
Aaliyahrose,F,1,Aaliyahrose,F,5,No,1
Aaliyan,F,1,Aaliyan,F,,,1
Aaliyana,F,1,Aaliyana,F,6,No,1
Aaliyanna,F,1,Aaliyanna,F,5,No,1
Aaliyha,F,1,Aaliyha,F,6,No,1
Aaliyiah,F,1,Aaliyiah,F,5,No,1
Aalliyah,F,1,Aalliyah,F,,,1
Aallyah,F,1,Aallyah,F,,,1
Aalok,M,1,Aalok,M,,,1
Aalon,M,1,Aalon,M,,,1
Aalya,F,1,Aalya,F,8,No,1
Aalyah,F,1,Aalyah,F,23,No,1
Aalycia,F,1,Aalycia,F,,,1
Aalyha,F,1,Aalyha,F,,,1
Aalyia,F,1,Aalyia,F,,,1
Aalyiah,F,1,Aalyiah,F,23,No,1
Aalyna,F,1,Aalyna,F,5,No,1
Aalysia,F,1,Aalysia,F,,,1
Aalyssa,F,1,Aalyssa,F,,,1
Aalyvia,F,1,Aalyvia,F,,,1
Aamaira,F,0,,,,,
Aaman,M,1,,,,,
Aamanah,F,0,,,,,
Aamanda,F,1,Aamanda,F,,,1
Aamanee,F,1,Aamanee,F,5,No,1
Aamani,F,1,Aamani,F,7,No,1
Aamar,M,1,Aamar,M,,,1
Aamari,F,,,,9,No,
Aamari,M,0.555555556,Aamari,M,7,No,0.5555555555555556
Aamarion,M,1,Aamarion,M,,,1
Aamaya,F,1,Aamaya,F,,,1
Aamber,F,1,Aamber,F,,,1
Aamena,F,1,Aamena,F,,,1
Aamenah,F,0,,,,,
Aamer,M,1,Aamer,M,,,1
Aamia,F,1,Aamia,F,5,No,1
Aamil,M,1,Aamil,M,5,No,1
Aamilah,F,1,Aamilah,F,12,No,1
Aamin,M,0,,,,,
Aamina,F,0,Aamina,F,24,No,1
Aaminah,F,0,Aaminah,F,42,No,1
Aamir,M,0,Aamir,M,143,Yes,0.9961977186311787
Aamira,F,1,Aamira,F,37,No,1
Aamirah,F,1,Aamirah,F,15,No,1
Aamiya,F,1,Aamiya,F,5,No,1
Aamiyah,F,1,Aamiyah,F,25,No,1
Aamna,F,1,Aamna,F,6,No,1
Aamnah,F,0,,,,,
Aamod,M,0,,,,,
Aamoni,F,1,Aamoni,F,,,1
Aamori,F,1,Aamori,F,7,No,1
Aamosh,M,0,,,,,
Aamrin,F,0,,,,,
Aamu,F,0,,,,,
Aamya,F,1,Aamya,F,,,1
Aamyah,F,1,Aamyah,F,,,1
Aana,F,1,Aana,F,,,1
Aanad,M,0,,,,,
Aanamika,F,0,,,,,
Aanand,M,1,Aanand,M,,,1
Aanav,M,1,Aanav,M,,,1
